    PID TTY          TIME CMD
      1 ?        00:00:00 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_g
      5 ?        00:00:00 kworker/R-rcu_p
      6 ?        00:00:00 kworker/R-slub_
      7 ?        00:00:00 kworker/R-netns
     10 ?        00:00:00 kworker/0:0H-events_highpri
     12 ?        00:00:00 kworker/R-mm_pe
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
     16 ?        00:00:00 ksoftirqd/0
     17 ?        00:00:01 rcu_preempt
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 kdevtmpfs
     22 ?        00:00:00 kworker/R-inet_
     23 ?        00:00:00 kauditd
     24 ?        00:00:00 khungtaskd
     26 ?        00:00:00 oom_reaper
     28 ?        00:00:00 kworker/R-write
     29 ?        00:00:00 kcompactd0
     30 ?        00:00:00 ksmd
     31 ?        00:00:00 khugepaged
     32 ?        00:00:00 kworker/R-kinte
     33 ?        00:00:00 kworker/R-kbloc
     34 ?        00:00:00 kworker/R-blkcg
     35 ?        00:00:00 irq/9-acpi
     36 ?        00:00:00 kworker/R-tpm_d
     37 ?        00:00:00 kworker/R-ata_s
     38 ?        00:00:00 kworker/R-md
     39 ?        00:00:00 kworker/R-md_bi
     40 ?        00:00:00 kworker/R-edac-
     41 ?        00:00:00 kworker/R-devfr
     42 ?        00:00:00 watchdogd
     43 ?        00:00:00 kworker/R-quota
     44 ?        00:00:00 kworker/0:1H-kblockd
     45 ?        00:00:00 kswapd0
     46 ?        00:00:00 ecryptfs-kthread
     47 ?        00:00:00 kworker/R-kthro
     48 ?        00:00:00 kworker/R-acpi_
     49 ?        00:00:00 scsi_eh_0
     50 ?        00:00:00 kworker/R-scsi_
     51 ?        00:00:00 scsi_eh_1
     52 ?        00:00:00 kworker/R-scsi_
     56 ?        00:00:00 kworker/R-mld
     57 ?        00:00:00 kworker/R-ipv6_
     65 ?        00:00:00 kworker/R-kstrp
     80 ?        00:00:00 kworker/R-charg
    124 ?        00:00:00 scsi_eh_2
    125 ?        00:00:00 kworker/R-scsi_
    163 ?        00:00:00 jbd2/sda1-8
    164 ?        00:00:00 kworker/R-ext4-
    203 ?        00:00:00 systemd-journal
    230 ?        00:00:00 irq/18-vmwgfx
    231 ?        00:00:00 kworker/R-ttm
    255 ?        00:00:00 systemd-udevd
    310 ?        00:00:00 kworker/R-crypt
    328 ?        00:00:00 jbd2/sda3-8
    329 ?        00:00:00 kworker/R-ext4-
    358 ?        00:00:02 systemd-oomd
    360 ?        00:00:00 systemd-resolve
    459 ?        00:00:00 systemd-timesyn
    568 ?        00:00:00 accounts-daemon
    569 ?        00:00:00 acpid
    572 ?        00:00:00 avahi-daemon
    573 ?        00:00:00 cron
    575 ?        00:00:00 dbus-daemon
    577 ?        00:00:00 NetworkManager
    590 ?        00:00:00 networkd-dispat
    591 ?        00:00:00 polkitd
    594 ?        00:00:00 power-profiles-
    595 ?        00:00:00 rsyslogd
    603 ?        00:00:01 snapd
    607 ?        00:00:00 switcheroo-cont
    610 ?        00:00:00 systemd-logind
    616 ?        00:00:00 udisksd
    630 ?        00:00:00 wpa_supplicant
    648 ?        00:00:00 avahi-daemon
    669 ?        00:00:00 ModemManager
    688 ?        00:00:00 unattended-upgr
    705 ?        00:00:00 cupsd
    731 ?        00:00:00 cups-browsed
    755 ?        00:00:00 kerneloops
    765 ?        00:00:00 kerneloops
   1585 ?        00:00:01 VBoxDRMClient
   1591 ?        00:00:00 VBoxService
   2225 ?        00:00:00 kworker/u3:1
   2278 ?        00:00:00 gdm3
   2305 ?        00:00:00 rtkit-daemon
   2386 ?        00:00:00 upowerd
   2393 ?        00:00:06 packagekitd
   2542 ?        00:00:00 colord
   2613 ?        00:00:00 gdm-session-wor
   2625 ?        00:00:00 systemd
   2626 ?        00:00:00 (sd-pam)
   2632 ?        00:00:00 pipewire
   2633 ?        00:00:00 pipewire-media-
   2634 ?        00:00:00 pulseaudio
   2635 ?        00:00:00 snapd-desktop-i
   2640 ?        00:00:00 gnome-keyring-d
   2645 tty2     00:00:00 gdm-wayland-ses
   2647 ?        00:00:00 dbus-daemon
   2652 tty2     00:00:00 gnome-session-b
   2686 ?        00:00:00 xdg-document-po
   2697 ?        00:00:00 xdg-permission-
   2705 ?        00:00:00 fusermount3
   2721 ?        00:00:00 gnome-session-c
   2731 ?        00:00:00 gvfsd
   2740 ?        00:00:00 gvfsd-fuse
   2746 ?        00:00:00 gnome-session-b
   2764 ?        00:00:00 at-spi-bus-laun
   2772 ?        00:00:00 dbus-daemon
   2775 ?        00:05:10 gnome-shell
   2817 ?        00:00:00 gnome-shell-cal
   2823 ?        00:00:00 evolution-sourc
   2824 ?        00:00:00 snapd-desktop-i
   2831 ?        00:00:00 goa-daemon
   2832 ?        00:00:00 dconf-service
   2837 ?        00:00:00 evolution-calen
   2839 ?        00:00:00 gvfs-udisks2-vo
   2853 ?        00:00:00 goa-identity-se
   2859 ?        00:00:00 gvfs-mtp-volume
   2873 ?        00:00:00 gvfs-gphoto2-vo
   2875 ?        00:00:00 evolution-addre
   2883 ?        00:00:00 gvfs-afc-volume
   2893 ?        00:00:00 gvfs-goa-volume
   2905 ?        00:00:00 gvfsd-trash
   2916 ?        00:00:00 at-spi2-registr
   2918 ?        00:00:00 gjs
   2931 ?        00:00:00 sh
   2932 ?        00:00:00 gsd-a11y-settin
   2933 ?        00:00:00 gsd-color
   2935 ?        00:00:00 gsd-datetime
   2938 ?        00:00:00 gsd-housekeepin
   2939 ?        00:00:00 gsd-keyboard
   2940 ?        00:00:08 ibus-daemon
   2942 ?        00:00:00 gsd-media-keys
   2946 ?        00:00:00 gsd-power
   2947 ?        00:00:00 gsd-print-notif
   2951 ?        00:00:00 gsd-rfkill
   2953 ?        00:00:00 gsd-screensaver
   2955 ?        00:00:00 gsd-sharing
   2956 ?        00:00:00 gsd-smartcard
   2957 ?        00:00:00 gsd-sound
   2965 ?        00:00:00 gsd-wacom
   3007 ?        00:00:00 evolution-alarm
   3009 ?        00:00:00 gsd-disk-utilit
